Rank,Peak,Title,Worldwide gross,Year
1,1,Avatar,"$2,923,706,026",2009
2,1,Avengers: Endgame,"$2,797,501,328",2019
3,3,Avatar: The Way of Water,"$2,320,250,281",2022
4,1,Titanic,"$2,257,844,554",1997
5,3,Star Wars: The Force Awakens,"$2,068,223,624",2015
6,4,Avengers: Infinity War,"$2,048,359,754",2018
7,6,Spider-Man: No Way Home,"$1,921,847,111",2021
8,3,Jurassic World,"$1,671,537,444",2015
9,7,The Lion King,"$1,656,943,394",2019
10,3,The Avengers,"$1,518,815,515",2012
11,4,Furious 7,"$1,515,341,399",2015
12,11,Top Gun: Maverick,"$1,495,696,292",2022
13,10,Frozen II,"$1,450,026,933",2019
14,14,Barbie †,"$1,445,638,421",2023
15,5,Avengers: Age of Ultron,"$1,402,809,540",2015
16,15,The Super Mario Bros. Movie †,"$1,361,973,409",2023
17,9,Black Panther,"$1,347,280,838",2018
18,3,Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727",2011
19,9,Star Wars: The Last Jedi,"$1,332,539,889",2017
20,12,Jurassic World: Fallen Kingdom,"$1,308,473,425",2018
21,5,Frozen,"$1,290,000,000",2013
22,10,Beauty and the Beast,"$1,263,521,126",2017
23,15,Incredibles 2,"$1,242,805,359",2018
24,11,The Fate of the Furious,"$1,238,764,765",2017
25,5,Iron Man 3,"$1,214,811,252",2013
26,10,Minions,"$1,159,444,662",2015
27,12,Captain America: Civil War,"$1,153,337,496",2016
28,20,Aquaman,"$1,148,528,393",2018
29,2,The Lord of the Rings: The Return of the King,"$1,147,997,407",2003
30,24,Spider-Man: Far From Home,"$1,131,927,996",2019
31,23,Captain Marvel,"$1,128,274,794",2019
32,5,Transformers: Dark of the Moon,"$1,123,794,079",2011
33,7,Skyfall,"$1,108,569,499",2012
34,10,Transformers: Age of Extinction,"$1,104,054,072",2014
35,7,The Dark Knight Rises,"$1,081,169,825",2012
36,31,Joker,"$1,074,458,282",2019
37,32,Star Wars: The Rise of Skywalker,"$1,074,144,248",2019
38,30,Toy Story 4,"$1,073,394,593",2019
39,4,Toy Story 3,"$1,066,970,811",2010
40,3,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",2006
41,20,Rogue One: A Star Wars Story,"$1,057,420,387",2016
42,34,Aladdin,"$1,050,693,953",2019
43,6,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011
44,1,Jurassic Park,"$1,037,535,230",1993
45,24,Despicable Me 3,"$1,034,800,131",2017
46,22,Finding Dory,"$1,028,570,942",2016
47,2,Star Wars: Episode I – The Phantom Menace,"$1,027,082,707",1999
48,5,Alice in Wonderland,"$1,025,468,216",2010
49,24,Zootopia,"$1,023,784,195",2016
50,14,The Hobbit: An Unexpected Journey,"$1,017,030,651",2012
